,sentence,annotation
0,we think it is very dangerous that you're climbing the mountains alone.,O O O O O O O O O O O O
1,"seen against the sky, the Lhotse looked really beautiful.",O O O O O B-MOUNT O O O
2,the contrast between the sky and the Mount Vinson is striking.,O O O O O O O B-MOUNT I-MOUNT O O
3,they hate him because he gives them a Mount Rainier of homework.,O O O O O O O O B-MOUNT I-MOUNT O O
4,john would often go Puncak Jaya climbing when he was a student.,O O O O B-MOUNT I-MOUNT O O O O O O
5,we headed for the Mount Aconcagua cottage.,O O O O B-MOUNT I-MOUNT O
6,we crawled like so many ants along the Mount Rainier pass.,O O O O O O O O B-MOUNT I-MOUNT O
7,we stood on the top of the Matterhorn.,O O O O O O O O
8,we climbed up the stream in the Lhotse.,O O O O O O O O
9,we had native guides on our trip to the K2.,O O O O O O O O O O
10,"we climbed up the Kangchenjunga, but with difficulty.",O O O O O O O O
11,we saw a Cho Oyu in the distance.,O O O B-MOUNT I-MOUNT O O O
12,"seen from a distance, this Pico de Orizaba looks like mt. fuji.",O O O O O B-MOUNT I-MOUNT I-MOUNT O O O O
13,i think it's dangerous to climb that Mount Everest alone.,O O O O O O O B-MOUNT I-MOUNT O
14,"let us go together. we can swim across the river, carry off the bear cubs, take them to the house on the mountains, and together find happiness.",O O O O O O O O O O O O O O O O O O O O O O O O O O O
15,the party did not succeed in climbing the Lhotse.,O O O O O O O O O
16,the party walked down the K2.,O O O O O O
17,i built a new house in view of the Annapurna.,O O O O O O O O O O
18,the upper part of the Denali is covered with snow.,O O O O O B-MOUNT O O O O
19,K2 bike racing has caught on with young japanese in the past few years.,B-MOUNT O O O O O O O O O O O O O
20,betty has climbed the Makalu three times.,O O O O B-MOUNT O O
21,finally the children saw a little orchard in the middle of the Lhotse with apple trees growing inside it.,O O O O O O O O O O O O B-MOUNT O O O O O O
22,"at length, we reached the top of the Mount Everest.",O O O O O O O O O O
23,"finally, the sick, tired men reached the Mount Elbrus town where he was waiting.",O O O O O O O B-MOUNT I-MOUNT O O O O O
24,"at last, they reached the top of the Kangchenjunga.",O O O O O O O O O
25,let's climb that Mount Vinson to see it.,O O O B-MOUNT I-MOUNT O O O
26,"then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.",O O O O O O O O O O O O O O O O O O O O
27,the treasure is believed to lie hidden somewhere in the Mount Kilimanjaro.,O O O O O O O O O O O O
28,the city is at the foot of the Mount Kilimanjaro.,O O O O O O O O O O
29,we call the Mount Aconcagua tsurugidake.,O O O B-MOUNT I-MOUNT O
30,there is only one pass over the Mont Blanc.,O O O O O O O O O
31,the Mont Blanc rises above the plain.,O B-MOUNT I-MOUNT O O O O
32,the Mount Vinson is easy of access.,O B-MOUNT I-MOUNT O O O O
33,the Nanga Parbat is covered with snow.,O B-MOUNT I-MOUNT O O O O
34,the Cho Oyu attracts many climbers.,O B-MOUNT I-MOUNT O O O
35,the mountain is famous in myth and legend.,O O O O O O O O
36,"the Annapurna is more than 3,000 meters above sea level.",O B-MOUNT O O O O O O O O
37,the Nanga Parbat is about 3000 meters above sea level.,O B-MOUNT I-MOUNT O O O O O O O
38,we have snow on the Dhaulagiri all the year round.,O O O O O B-MOUNT O O O O
39,the Kangchenjunga is covered with snow all the year round.,O B-MOUNT O O O O O O O O
40,how high is the Makalu?,O O O O O
41,"this Mount Elbrus has an altitude of 3,000 meters.",O B-MOUNT I-MOUNT O O O O O O
42,the Manaslu peak was covered with snow.,O B-MOUNT O O O O O
43,the Annapurna top is covered with snow almost all year.,O B-MOUNT O O O O O O O O
44,the top of the Makalu is always covered with snow.,O O O O B-MOUNT O O O O O
45,there was a tower on the top of the Mont Blanc.,O O O O O O O O O O O
46,the summit of the Cho Oyu is covered with snow.,O O O O B-MOUNT I-MOUNT O O O O
47,the view from the top of the Mont Blanc took my breath away.,O O O O O O O B-MOUNT I-MOUNT O O O O
48,the Mont Blanc has a beautiful shape.,O B-MOUNT I-MOUNT O O O O
49,it's not absolutely impossible to climb the Mount Everest.,O O O O O O O O O
50,not a few monkeys were found in the Mont Blanc.,O O O O O O O O O O
51,it's a lot of fun to climb that Matterhorn.,O O O O O O O O O
52,there are many monkeys on the Mount Rainier.,O O O O O O O O
53,i met some hikers on the mountains.,O O O O O O O
54,the mountain is standing out in sharp relief against the blue sky.,O O O O O O O O O O O O
55,the country is renowned for the beauty of its Annapurna scenery.,O O O O O O O O O B-MOUNT O
56,the action took place in a Cho Oyu village.,O O O O O O B-MOUNT I-MOUNT O
57,the Mount Aconcagua is not as high as mt. fuji.,O B-MOUNT I-MOUNT O O O O O O O
58,the Mount Vinson is 2000 meters above sea level.,O B-MOUNT I-MOUNT O O O O O O
59,the hotel is at the foot of a Mont Blanc.,O O O O O O O O O O
60,you should not climb the Dhaulagiri in such bad weather.,O O O O O B-MOUNT O O O O
61,in all my travels i've never seen a more beautiful Nanga Parbat than everest.,O O O O O O O O O O B-MOUNT I-MOUNT O O
62,this room has fine view of the mountains.,O O O O O O O O
63,this car has enough power to go up the mountains easily.,O O O O O O O O O O O
64,this Pico de Orizaba path ascends to the beautiful lake.,O B-MOUNT I-MOUNT I-MOUNT O O O O O O
65,it's dangerous to climb this Mount Aconcagua.,O O O O O O O
66,this Pico de Orizaba is difficult to climb.,O B-MOUNT I-MOUNT I-MOUNT O O O O
